"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15, 2017","2,131.75","2,159.83","2,162.41","2,131.75","-","-1.62%"
"Nov 14, 2017","2,166.83","2,166.11","2,185.56","2,166.11","-","-0.04%"
"Nov 13, 2017","2,167.63","2,169.85","2,191.71","2,167.63","-","-0.08%"
"Nov 10, 2017","2,169.26","2,184.64","2,190.56","2,166.68","-","-0.66%"
"Nov 09, 2017","2,183.61","2,162.00","2,183.61","2,156.48","-","0.95%"
"Nov 08, 2017","2,163.01","2,155.21","2,178.42","2,144.98","-","0.35%"
"Nov 07, 2017","2,155.55","2,092.78","2,155.55","2,092.78","-","3.57%"
"Nov 03, 2017","2,081.15","2,073.17","2,096.04","2,073.17","-","0.39%"
"Nov 02, 2017","2,073.04","2,080.53","2,080.53","2,065.69","-","-0.47%"
"Nov 01, 2017","2,082.73","2,070.68","2,089.83","2,068.26","-","0.89%"
"Oct 31, 2017","2,064.31","2,066.10","2,079.28","2,064.31","-","-0.05%"
"Oct 30, 2017","2,065.25","2,069.45","2,076.96","2,064.74","-","-0.17%"
"Oct 27, 2017","2,068.76","2,050.35","2,068.76","2,050.35","-","1.08%"
"Oct 26, 2017","2,046.69","2,049.66","2,053.53","2,038.26","-","-0.14%"
"Oct 25, 2017","2,049.48","2,063.20","2,073.44","2,048.78","-","-0.60%"
"Oct 24, 2017","2,061.79","2,064.07","2,066.21","2,057.69","-","-0.10%"
"Oct 23, 2017","2,063.81","2,073.55","2,078.59","2,060.43","-","-0.39%"
"Oct 20, 2017","2,071.83","2,076.29","2,079.64","2,067.91","-","-0.04%"
"Oct 19, 2017","2,072.73","2,094.56","2,099.66","2,071.60","-","-1.03%"
"Oct 18, 2017","2,094.40","2,091.40","2,101.35","2,086.45","-","0.09%"
"Oct 17, 2017","2,092.57","2,105.74","2,106.49","2,086.41","-","-0.66%"
"Oct 16, 2017","2,106.39","2,102.25","2,106.39","2,098.07","-","0.36%"
"Oct 13, 2017","2,098.77","2,094.94","2,105.64","2,092.40","-","0.18%"
"Oct 12, 2017","2,094.96","2,101.33","2,101.33","2,090.86","-","-0.29%"
"Oct 11, 2017","2,101.07","2,087.47","2,103.29","2,087.07","-","0.68%"
"Oct 10, 2017","2,086.91","2,096.35","2,096.35","2,084.49","-","-0.45%"
"Oct 09, 2017","2,096.29","2,094.16","2,100.29","2,086.74","-","0.12%"
"Oct 06, 2017","2,093.86","2,089.39","2,103.05","2,089.39","-","0.27%"
"Oct 05, 2017","2,088.32","2,076.78","2,088.64","2,071.19","-","0.54%"
"Oct 04, 2017","2,077.09","2,076.50","2,080.05","2,068.73","-","0.01%"
"Oct 03, 2017","2,076.81","2,076.53","2,084.03","2,072.83","-","0.05%"
"Oct 02, 2017","2,075.72","2,077.16","2,083.43","2,072.72","-","-0.07%"
"Sep 29, 2017","2,077.19","2,071.33","2,077.28","2,068.39","-","0.27%"
"Sep 28, 2017","2,071.64","2,080.73","2,084.39","2,068.54","-","-0.46%"
"Sep 27, 2017","2,081.12","2,072.27","2,085.14","2,065.79","-","0.48%"
"Sep 26, 2017","2,071.13","2,071.62","2,086.65","2,070.49","-","0.10%"
"Sep 25, 2017","2,069.11","2,050.52","2,070.82","2,046.01","-","0.85%"
"Sep 22, 2017","2,051.63","2,059.01","2,059.01","2,046.35","-","-0.42%"
"Sep 21, 2017","2,060.24","2,056.27","2,066.41","2,051.68","-","0.13%"
"Sep 20, 2017","2,057.53","2,048.86","2,058.08","2,044.23","-","0.42%"
"Sep 19, 2017","2,048.99","2,057.36","2,059.16","2,046.61","-","-0.49%"
"Sep 18, 2017","2,059.08","2,055.41","2,062.75","2,053.60","-","0.26%"
